Year,TEAM,LEAGUE,W,L,ERA,G,GS,CG,SHO,SV,SVO,IP,H,R,ER,HR,HB,BB,SO,WHIP,AVG,TBF,NP,P/IP,GF,HLD,IBB,WP,BK,GDP,GO,AO,GO/AO,SO/9,BB/9,K/BB
2022,Tampa Bay Rays,AL,86,76,3.41,162,162,0,10,44,80,1435.2,1260,614,544,172,66,384,1384,1.15,.232,5930,22724,15.83,162,116,15,54,4,98,1357,1472,0.92,8.68,2.41,3.60
2022,Chicago Cubs,NL,74,88,4.00,162,162,0,11,44,75,1443.2,1342,731,642,207,73,540,1383,1.30,.244,6162,24162,16.74,162,58,19,53,8,119,1405,1416,0.99,8.62,3.37,2.56
2022,Los Angeles Angels,AL,73,89,3.77,162,162,2,17,38,66,1435.2,1241,668,601,168,60,540,1383,1.24,.230,6038,23515,16.38,160,79,23,64,3,121,1360,1452,0.94,8.67,3.39,2.56
2022,San Francisco Giants,NL,81,81,3.85,162,162,1,8,39,61,1433.0,1397,697,613,132,52,441,1370,1.28,.253,6070,23628,16.49,161,75,16,53,2,112,1517,1288,1.18,8.60,2.77,3.11
2022,Boston Red Sox,AL,78,84,4.53,162,162,5,10,39,67,1431.0,1411,787,721,185,72,526,1346,1.35,.256,6167,23905,16.71,157,88,17,60,8,116,1378,1434,0.96,8.47,3.31,2.56
2022,Minnesota Twins,AL,78,84,3.98,162,162,0,17,28,55,1437.0,1320,684,636,184,66,468,1336,1.24,.242,6042,23611,16.43,162,100,19,50,4,107,1276,1575,0.81,8.37,2.93,2.85
2022,Texas Rangers,AL,68,94,4.22,162,162,1,10,37,67,1435.0,1345,743,673,169,71,581,1314,1.34,.247,6167,23658,16.49,161,86,16,66,7,123,1477,1376,1.07,8.24,3.64,2.26
2022,Pittsburgh Pirates,NL,62,100,4.66,162,162,0,6,33,62,1421.0,1431,817,735,164,87,586,1250,1.42,.258,6263,24246,17.06,161,70,23,62,5,128,1501,1404,1.07,7.92,3.71,2.13
2022,Washington Nationals,NL,55,107,5.00,162,162,2,4,28,45,1411.2,1469,855,785,244,75,558,1220,1.44,.266,6220,24394,17.28,160,59,12,59,2,106,1363,1534,0.89,7.78,3.56,2.19
2022,Arizona Diamondbacks,NL,74,88,4.25,162,162,0,10,33,60,1430.0,1345,740,676,191,59,504,1216,1.29,.247,6065,23569,16.48,162,79,18,51,3,107,1336,1601,0.83,7.65,3.17,2.41
2022,Baltimore Orioles,AL,83,79,3.97,162,162,2,15,46,59,1433.1,1406,688,632,171,64,443,1214,1.29,.256,6058,23252,16.22,160,80,8,47,4,134,1444,1481,0.98,7.62,2.78,2.74
2022,Oakland Athletics,AL,60,102,4.52,162,162,0,7,34,59,1426.1,1394,770,717,195,72,503,1203,1.33,.254,6121,23324,16.35,162,105,37,62,5,118,1384,1563,0.89,7.59,3.17,2.39
2022,Detroit Tigers,AL,66,96,4.04,162,162,0,8,38,56,1419.2,1336,713,637,167,57,511,1195,1.30,.247,6047,23382,16.47,162,93,9,59,2,122,1364,1583,0.86,7.58,3.24,2.34
2022,Kansas City Royals,AL,65,97,4.70,162,162,0,9,33,54,1416.0,1493,810,740,173,71,589,1191,1.47,.271,6249,24447,17.26,162,80,15,88,6,135,1417,1488,0.95,7.57,3.74,2.02
2022,Colorado Rockies,NL,68,94,5.06,162,162,1,6,43,64,1425.1,1516,873,802,184,59,539,1187,1.44,.272,6240,23720,16.64,161,65,12,65,3,134,1524,1413,1.08,7.50,3.40,2.20
2022,St. Louis Cardinals,NL,93,69,3.79,162,162,3,17,37,54,1435.2,1335,637,605,146,60,489,1177,1.27,.247,6014,23520,16.38,159,70,11,43,3,157,1608,1342,1.20,7.38,3.07,2.41
2023,Minnesota Twins,AL,87,75,3.87,162,162,2,12,38,66,1451.1,1294,659,624,194,63,443,1560,1.20,.236,6028,23487,16.18,160,79,16,51,1,97,1233,1434,0.86,9.67,2.75,3.52
2023,Toronto Blue Jays,AL,89,73,3.78,162,162,1,15,51,69,1451.2,1326,671,610,198,62,488,1528,1.25,.241,6100,23829,16.41,161,106,29,42,12,112,1276,1418,0.90,9.47,3.03,3.13
2023,Atlanta Braves,NL,104,58,4.14,162,162,1,15,52,78,1440.0,1341,716,662,187,70,534,1516,1.30,.245,6135,24064,16.71,161,102,14,56,8,120,1325,1346,0.98,9.48,3.34,2.84
2023,Tampa Bay Rays,AL,99,63,3.86,162,162,0,14,45,76,1442.0,1258,665,618,177,63,439,1507,1.18,.231,5994,22917,15.89,162,80,10,65,1,97,1375,1350,1.02,9.41,2.74,3.43
2023,Miami Marlins,NL,84,78,4.21,162,162,3,9,43,74,1435.1,1340,723,672,191,71,514,1490,1.29,.246,6091,23759,16.55,159,92,20,38,9,127,1356,1317,1.03,9.34,3.22,2.90
2023,Chicago White Sox,AL,61,101,4.87,162,162,2,7,28,57,1431.2,1372,841,774,214,91,654,1470,1.42,.249,6301,25299,17.67,160,71,14,65,9,102,1225,1486,0.82,9.24,4.11,2.25
2023,Houston Astros,AL,90,72,3.94,162,162,2,7,42,61,1445.1,1312,698,632,201,75,537,1460,1.28,.241,6110,24097,16.67,160,86,6,37,5,131,1279,1445,0.89,9.09,3.34,2.72
2023,Seattle Mariners,AL,88,74,3.74,162,162,2,18,44,64,1449.1,1300,659,602,184,57,421,1459,1.19,.237,6006,23230,16.03,160,98,22,41,4,102,1336,1433,0.93,9.06,2.61,3.47
2023,Philadelphia Phillies,NL,90,72,4.03,162,162,1,4,45,71,1442.1,1318,715,646,185,54,470,1454,1.24,.240,6074,23663,16.41,161,87,6,35,7,94,1376,1402,0.98,9.07,2.93,3.09
2023,Los Angeles Angels,AL,73,89,4.64,162,162,1,9,43,72,1431.2,1394,829,738,209,88,636,1445,1.42,.252,6305,24748,17.29,161,97,41,70,8,107,1241,1496,0.83,9.08,4.00,2.27
2023,San Diego Padres,NL,82,80,3.73,162,162,0,16,36,64,1441.0,1270,648,598,174,76,557,1445,1.27,.236,6082,24300,16.86,162,83,14,48,7,116,1386,1345,1.03,9.02,3.48,2.59
2023,New York Yankees,AL,82,80,3.97,162,162,3,8,44,63,1439.2,1272,698,635,195,85,508,1439,1.24,.234,6078,23889,16.59,159,83,6,60,15,103,1401,1367,1.02,9.00,3.18,2.83
2023,Baltimore Orioles,AL,101,61,3.89,162,162,0,12,49,80,1453.2,1334,678,629,177,63,473,1431,1.24,.242,6098,23968,16.49,162,108,16,64,7,122,1415,1380,1.03,8.86,2.93,3.03
2023,Milwaukee Brewers,NL,92,70,3.71,162,162,1,16,46,71,1443.0,1218,647,595,198,60,493,1425,1.19,.226,5990,23543,16.32,161,103,7,54,8,100,1368,1420,0.96,8.89,3.07,2.89
2023,Boston Red Sox,AL,78,84,4.52,162,162,0,5,43,59,1430.0,1416,776,718,208,83,497,1423,1.34,.256,6168,24034,16.81,162,68,21,49,4,116,1379,1365,1.01,8.96,3.13,2.86
2023,New York Mets,NL,75,87,4.30,162,162,1,7,34,52,1416.1,1331,729,676,190,85,595,1397,1.36,.247,6115,24292,17.15,161,82,13,59,8,126,1286,1419,0.91,8.88,3.78,2.35
2023,Los Angeles Dodgers,NL,100,62,4.06,162,162,0,15,44,61,1446.1,1284,699,652,200,73,454,1388,1.20,.236,6018,23230,16.06,162,90,20,49,4,127,1344,1471,0.91,8.64,2.83,3.06
2023,Cincinnati Reds,NL,82,80,4.83,162,162,0,6,53,79,1439.1,1426,821,772,222,81,613,1381,1.42,.257,6310,24817,17.24,162,90,13,48,7,112,1224,1582,0.77,8.64,3.83,2.25
2023,Chicago Cubs,NL,83,79,4.08,162,162,1,13,35,57,1435.1,1328,723,651,179,64,513,1377,1.28,.244,6085,23476,16.36,161,83,5,57,6,114,1444,1358,1.06,8.63,3.22,2.68
2023,Detroit Tigers,AL,78,84,4.24,162,162,0,15,41,63,1442.1,1320,740,680,187,50,476,1374,1.25,.240,6073,23544,16.32,162,102,8,51,5,117,1355,1491,0.91,8.57,2.97,2.89
2023,Pittsburgh Pirates,NL,76,86,4.60,162,162,2,10,47,68,1430.0,1380,790,731,179,81,596,1363,1.38,.251,6238,23925,16.73,160,88,25,57,7,115,1401,1412,0.99,8.58,3.75,2.29
2023,San Francisco Giants,NL,79,83,4.02,162,162,4,11,50,77,1434.2,1395,719,641,173,71,403,1359,1.25,.253,6039,23103,16.10,158,72,22,60,12,129,1572,1232,1.28,8.53,2.53,3.37
2023,Arizona Diamondbacks,NL,84,78,4.48,162,162,1,9,44,71,1435.1,1375,761,714,197,48,525,1351,1.32,.251,6100,23575,16.42,161,76,13,40,8,113,1323,1477,0.90,8.47,3.29,2.57
2023,Texas Rangers,AL,90,72,4.28,162,162,3,13,30,63,1436.1,1330,716,683,198,59,491,1351,1.27,.245,6025,23151,16.12,159,81,19,46,4,126,1325,1468,0.90,8.47,3.08,2.75
2023,Cleveland Guardians,AL,76,86,3.96,162,162,1,13,47,81,1444.0,1352,697,635,173,51,534,1311,1.31,.246,6144,23949,16.59,161,103,9,61,10,101,1332,1559,0.85,8.17,3.33,2.46
2023,Oakland Athletics,AL,50,112,5.48,162,162,0,5,29,55,1419.2,1464,924,865,213,100,694,1300,1.52,.266,6384,25337,17.85,162,62,33,76,4,102,1178,1644,0.72,8.24,4.40,1.87
2023,Kansas City Royals,AL,56,106,5.17,162,162,3,6,28,53,1409.0,1429,859,809,207,73,553,1270,1.41,.262,6139,23798,16.89,159,66,8,67,6,113,1312,1495,0.88,8.11,3.53,2.30
2023,Washington Nationals,NL,71,91,5.02,162,162,0,3,42,69,1428.1,1512,845,797,245,66,592,1225,1.47,.273,6285,24765,17.34,162,75,25,54,8,138,1374,1515,0.91,7.72,3.73,2.07
2023,St. Louis Cardinals,NL,71,91,4.79,162,162,0,10,36,64,1428.1,1549,829,760,179,63,530,1215,1.46,.276,6273,24290,17.01,162,89,6,62,7,141,1522,1391,1.09,7.66,3.34,2.29
2023,Colorado Rockies,NL,59,103,5.67,162,162,0,6,32,66,1414.0,1599,957,891,234,86,586,1129,1.55,.288,6316,23866,16.88,162,58,13,51,7,146,1386,1528,0.91,7.19,3.73,1.93
